CODE1,freq,n_pats
GCA98,309,280
KCE02,309,256
PJW99,309,268
JN7AQ,308,83
CGC10,307,276
NHA30,307,283
FN1XT,306,294
GD1UN,306,273
NCF25,305,273
FPJ00,304,139
IGP01,304,156
LFF00,304,248
ZXC84,304,279
HAC15,303,280
JN3DG,303,265
NGE15,303,286
NHQ30,303,224
GDC00,302,297
JAB00,302,276
KBV10,302,255
LAF16,302,299
PJD54,302,294
YG1CD,302,273
PHT99,301,203
NAG41,300,284
NGM20,300,287
XF620,300,267
EN1AD,299,273
ZXY80,299,232
ZYC04,299,201
ABD32,298,242
IGV01,298,181
PHB78,298,284
XW1AT,298,255
HA1DG,297,253
QA4S1,296,221
EB1BA,295,273
XX9LA,295,242
AAG50,294,169
CKC30,294,266
NDQ20,294,229
RJ421,294,55
XGX32,294,263
CGD10,293,209
NH4AE,293,273
CBJ40,292,243
NA7BG,292,245
NC1BA,292,270
RJ410,292,56
AAE10,291,251
HWD00,291,273
CBJ50,290,269
PHG76,290,281
SBA10,290,276
4AA23,288,25
NJ3DA,288,219
WQ021,288,131
FME20,287,266
JFB43,287,285
WXQ10,287,25
ACB29,286,277
JAL30,286,284
LBE00,286,274
QDH01,286,228
XPX08,286,242
XX1AW,286,279
ZZH22,286,264
ABC60,285,271
HAE05,285,260
KE029,285,10
ZXY56,285,111
NA6CG,284,262
LC003,283,25
PA6BG,283,277
4CJ01,282,117
NA3CF,282,274
NGH20,282,256
TCG10,282,225
ZXY59,282,104
1XC13,281,41
GD5CD,281,269
JCA22,281,147
JCF12,281,187
ZXX05,281,235
