"","CODE1","n_codes","n_patients"
"584","4750A",117,113
"585","5839X",117,53
"586","5322A",116,93
"587","6412B",116,112
"588","0609X",115,107
"589","1541A",115,39
"590","5745A",115,103
"591","7199X",115,94
"592","7288X",115,99
"593","3490A",114,111
"594","5781B",114,102
"595","7802A",114,99
"596","4059B",113,48
"597","4661A",113,105
"598","5322B",113,98
"599","5739X",113,90
"600","7882A",113,98
"601","0030A",112,99
"602","2000A",112,18
"603","3781A",112,103
"604","6160A",112,109
"605","3018B",111,49
"606","3044A",111,55
"607","3153X",111,65
"608","7030A",111,95
"609","7169X",111,97
"610","8132X",111,88
"611","2770A",110,9
"612","2953D",110,51
"613","4720C",110,77
"614","4809X",110,102
"615","6178X",110,98
"616","6213C",110,88
"617","6350B",110,107
"618","6608B",110,109
"619","V654A",110,95
"620","3453A",109,43
"621","4276A",109,100
"622","5740B",109,97
"623","2102A",108,97
"624","3640A",108,95
"625","4130A",108,89
"626","6425B",108,98
"627","7859X",108,95
"628","7910X",108,94
"629","8831A",108,72
"630","2137A",107,79
"631","3780A",107,94
"632","4029B",106,69
"633","4059X",106,77
"634","4229X",106,80
"635","6545A",106,58
"636","6918C",106,62
"637","8240A",106,95
"638","2953B",105,38
"639","3829X",105,96
"640","4331X",105,67
"641","6481B",105,57
"642","6641B",105,104
"643","6600B",104,104
"644","2391A",103,76
"645","3755A",103,90
"646","5716A",103,24
"647","6221B",103,93
"648","6533A",103,95
"649","7266E",103,98
"650","7396A",103,96
"651","7410D",103,10
"652","7881A",103,88
"653","8122A",103,75
"654","8134X",103,87
"655","0529X",102,101
"656","5110B",102,75
"657","6349X",102,99
"658","6482A",102,92
"659","6524B",102,102
"660","7860B",102,92
"661","2252A",101,55
"662","2260A",101,99
"663","3557X",101,95
"664","5188X",101,64
"665","6280A",101,88
"666","7000A",101,88
"667","3641A",100,35
"668","7176A",100,93
"669","4149X",99,77
"670","4260A",99,62
"671","7234A",99,71
"672","7180F",98,92
"673","7901A",98,75
"674","5780A",97,93
"675","7220A",97,80
"676","2165A",96,91
"677","2959B",96,57
"678","6563A",96,94
"679","6603B",96,96
"680","8310A",96,84
"681","9982A",96,80
"682","2002A",95,7
"683","4241B",95,48
"684","5240A",95,70
"685","5589X",95,80
"686","6534A",95,89
"687","8450A",95,92
"688","9222A",95,93
"689","3469X",94,71
"690","8233D",94,38
"691","1733A",93,72
"692","2030A",93,10
"693","2448A",93,66
"694","3780B",93,81
"695","6221C",93,85
"696","7179X",93,90
"697","7950A",92,88
"698","4120C",91,61
"699","4476A",91,30
"700","5275A",91,76
"701","5691A",91,73
"702","5828B",91,19
"703","7358X",91,79
"704","1330A",90,64
"705","1745A",90,56
"706","3010A",90,44
"707","7199L",90,77
"708","7545B",90,24
"709","6568A",89,82
"710","7263B",89,77
"711","7330A",89,37
"712","9060A",89,55
"713","4309X",88,63
"714","7071A",88,65
"715","0769C",87,85
"716","5680A",87,82
"717","6609B",87,86
"718","7241A",87,72
"719","9953A",87,72
"720","3093A",86,46
"721","3159X",86,56
"722","3793A",86,56
"723","8233C",86,51
"724","3003A",85,36
"725","3429X",85,51
"726","7165A",85,58
"727","7842A",85,75
"728","6102A",84,78
"729","6532B",84,72
"730","6690A",84,81
"731","2121A",83,42
"732","2952C",83,30
"733","3813X",83,77
"734","4251A",83,39
"735","6350A",83,82
"736","6411A",83,62
"737","7263C",83,73
"738","8132A",83,68
"739","9061A",83,59
"740","1890B",82,46
"741","3499X",82,29
"742","4100B",82,74
"743","5233A",82,74
"744","6288B",82,72
"745","6409X",82,72
"746","6525B",82,80
"747","7188F",82,78
"748","8450X",82,77
"749","3160A",81,33
"750","8082A",81,70
"751","1890A",80,13
"752","2009X",80,28
"753","2790B",80,14
"754","5586X",80,52
"755","6564A",80,77
"756","8026A",80,68
"757","2962A",79,44
"758","4272A",79,61
"759","4878X",79,76
"760","5750A",79,70
"761","6461A",79,65
"762","7211A",79,50
"763","2964C",78,28
"764","3454X",78,39
"765","3824A",78,63
"766","4810A",78,68
"767","4910A",78,64
"768","7444B",78,71
"769","8202A",78,48
"770","8250A",78,62
"771","0750A",77,70
"772","2251A",77,44
"773","2451A",77,66
"774","5650C",77,72
"775","5714X",77,23
"776","6142X",77,71
"777","6221A",77,71
"778","6339X",77,70
"779","9059A",77,35
"780","2500C",76,49
"781","3784B",76,70
"782","5772A",76,35
"783","7893A",76,67
"784","8252E",76,63
"785","8500X",76,72
"786","8822A",76,65
"787","2952E",75,25
"788","3008A",75,46
"789","4720A",75,71
"790","5225A",75,74
"791","5354X",75,65
"792","5742B",75,67
"793","6269X",75,69
"794","7561A",75,46
"795","2510B",74,64
"796","2512X",74,53
"797","2768A",74,47
"798","3012A",74,36
"799","3138B",74,38
"800","3801A",74,65
"801","4373A",74,41
"802","6566B",74,74
"803","6570A",74,58
"804","8832B",74,62
"805","1048A",73,43
"806","1380A",73,38
"807","3002B",73,40
"808","4059A",73,37
"809","5307A",73,65
"810","5756A",73,71
"811","7250A",73,48
"812","7834C",73,48
"813","8232D",73,49
"814","8501B",73,67
"815","2773B",72,15
"816","6752A",72,72
"817","6930B",72,69
"818","7543B",72,25
"819","7872A",72,65
"820","8052A",72,56
"821","8084A",72,54
"822","8821A",72,55
"823","8860A",72,61
"824","4719X",71,58
"825","6110A",71,62
"826","6163A",71,64
"827","7118L",71,52
"828","7490A",71,35
"829","7869X",71,59
"830","8830A",71,56
"831","V614A",71,68
"832","3140B",70,23
"833","3510A",70,58
"834","3556A",70,67
"835","6078B",70,47
"836","7178A",70,58
"837","7273A",70,64
"838","7291A",70,57
"839","7492A",70,25
"840","2520A",69,40
"841","2920A",69,51
"842","4131X",69,47
"843","4360A",69,53
"844","4871A",69,67
"845","4919X",69,52
"846","5509C",69,67
"847","6450A",69,69
"848","6653B",69,69
"849","6661X",69,68
"850","7151H",69,62
"851","7823A",69,60
"852","9050A",69,54
"853","3548X",68,64
