concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
4340,75860,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4345,80141,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4352,76725,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4355,37203984,Maps to,2019-07-31,2099-12-31,NA,USAGI,Condition
4356,193807,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4357,4213865,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4366,195581,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4377,193242,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4386,4340383,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4394,4135822,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4412,196726,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4414,44783016,Maps to,2014-01-31,2099-12-31,NA,USAGI,Condition
4414,196726,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4416,36716712,Maps to,2017-01-31,2099-12-31,NA,USAGI,Condition
4425,4145443,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4426,192956,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4435,4289018,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4437,4340953,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4438,195856,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4442,441067,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4449,4340493,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4456,4008556,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4462,26727,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4463,4103703,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4469,4131798,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4504,4125952,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4535,4269363,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4536,4280571,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4540,433811,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4541,4220484,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4543,201620,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
