concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,temp_mapping_type
715781,792649,Maps to,20200601,20991231,NA,OMOP
1501763,35603994,Maps to,20200601,20991231,NA,OMOP
21601372,529411,Maps to,20200601,20991231,NA,OMOP
21602849,1728416,Maps to,20200601,20991231,NA,OMOP
21604947,1794280,Maps to,20200601,20991231,NA,OMOP
21601313,528988,Maps to,20200601,20991231,NA,OMOP
40252858,19018511,Maps to,20200601,20991231,NA,OMOP
715817,1366428,Maps to,20200601,20991231,NA,OMOP
40253603,45892906,Maps to,20200601,20991231,NA,OMOP
21600675,40174102,Maps to,20200601,20991231,NA,OMOP
21602560,1549254,Maps to,20200601,20991231,NA,OMOP
21601307,529411,Maps to,20200601,20991231,NA,OMOP
21602376,36878773,Maps to,20200601,20991231,NA,OMOP
21601314,40163710,Maps to,20200601,20991231,NA,OMOP
715851,905233,Maps to,20200601,20991231,NA,OMOP
715818,1336926,Maps to,20200601,20991231,NA,OMOP
21604349,19033710,Maps to,20200601,20991231,NA,OMOP
21604465,789578,Maps to,20200601,20991231,NA,OMOP
21604331,19031397,Maps to,20200601,20991231,NA,OMOP
45893511,1545958,Maps to,20200601,20991231,NA,OMOP
21603309,1183554,Maps to,20200601,20991231,NA,OMOP
21600993,40798706,Maps to,20200601,20991231,NA,OMOP
1588680,40684606,Maps to,20200601,20991231,NA,OMOP
1123781,1594333,Maps to,20200601,20991231,NA,OMOP
21602033,952538,Maps to,20200601,20991231,NA,OMOP
43534770,1332418,Maps to,20200601,20991231,NA,OMOP
21602568,1549254,Maps to,20200601,20991231,NA,OMOP
21604352,19033710,Maps to,20200601,20991231,NA,OMOP
21602594,1549254,Maps to,20200601,20991231,NA,OMOP
43534799,1738135,Maps to,20200601,20991231,NA,OMOP
21601844,1332418,Maps to,20200601,20991231,NA,OMOP
43534840,905233,Maps to,20200601,20991231,NA,OMOP
715845,35198033,Maps to,20200601,20991231,NA,OMOP
21601307,19033193,Maps to,20200601,20991231,NA,OMOP
21601335,36878617,Maps to,20200601,20991231,NA,OMOP
21602043,908921,Maps to,20200601,20991231,NA,OMOP
21605175,975125,Maps to,20200601,20991231,NA,OMOP
21601817,1332418,Maps to,20200601,20991231,NA,OMOP
1123609,44506754,Maps to,20200601,20991231,NA,OMOP
45893458,1756831,Maps to,20200601,20991231,NA,OMOP
21604151,1511646,Maps to,20200601,20991231,NA,OMOP
43534848,45775571,Maps to,20200601,20991231,NA,OMOP
40252855,19018511,Maps to,20200601,20991231,NA,OMOP
43534772,1332418,Maps to,20200601,20991231,NA,OMOP
21603341,1140088,Maps to,20200601,20991231,NA,OMOP
43534776,1545958,Maps to,20200601,20991231,NA,OMOP
715879,19078612,Maps to,20200601,20991231,NA,OMOP
21601508,40798722,Maps to,20200601,20991231,NA,OMOP
715829,43560385,Maps to,20200601,20991231,NA,OMOP
43534785,19054876,Maps to,20200601,20991231,NA,OMOP
21603501,994341,Maps to,20200601,20991231,NA,OMOP
21601251,19091628,Maps to,20200601,20991231,NA,OMOP
21605216,40170420,Maps to,20200601,20991231,NA,OMOP
21603185,1769389,Maps to,20200601,20991231,NA,OMOP
21600124,19040563,Maps to,20200601,20991231,NA,OMOP
21601535,19123864,Maps to,20200601,20991231,NA,OMOP
40255827,1338005,Maps to,20200601,20991231,NA,OMOP
1123899,36249810,Maps to,20200601,20991231,NA,OMOP
21601367,529116,Maps to,20200601,20991231,NA,OMOP
21601351,36878873,Maps to,20200601,20991231,NA,OMOP
21604439,35200286,Maps to,20200601,20991231,NA,OMOP
21601313,529042,Maps to,20200601,20991231,NA,OMOP
