code,freq_finngen,freq_tays,freq_total
YNB10,67,1259,1326
PJD44,311,1014,1325
RS224,211,1112,1323
FNC30,972,346,1318
QXE10,249,1065,1314
XX1AT,478,826,1304
EB1AI,718,585,1303
JFB30,783,516,1299
JK3BT,138,1157,1295
NDJ64,1113,181,1294
KAT00,1138,154,1292
SXB00,1127,158,1285
TAW99,1271,13,1284
NHG76,1115,166,1281
JKE02,772,503,1275
JN6BD,763,507,1270
NG1BA,1078,184,1262
CHC05,1018,243,1261
NB1BG,882,378,1260
KH1CD,773,485,1258
GAB10,190,1065,1255
TLW10,931,323,1254
FM1DG,768,480,1248
UJF14,792,453,1245
LEG12,914,330,1244
ELB40,626,618,1244
JHA00,1033,208,1241
MAC96,1145,93,1238
XJD02,372,860,1232
WX322,384,844,1228
WX322,384,844,1228
WE300,196,1026,1222
KA1FN,477,743,1220
PA7BD,1099,118,1217
GA5AA,229,987,1216
SXC03,1151,59,1210
JKE98,1199,5,1204
TNX34,1182,18,1200
NA6BG,845,353,1198
XX6KT,95,1102,1197
XF409,1191,5,1196
JFF10,205,990,1195
MBA96,1103,88,1191
ZX140,1103,82,1185
NH2AA,605,580,1185
ZX100,1115,62,1177
4AA12,1102,75,1177
NG1AE,784,393,1177
TNX39,1167,3,1170
EBA05,1016,153,1169
XG405,1165,3,1168
ZZQ10,187,980,1167
LAC01,938,224,1162
TFP00,225,934,1159
KCV12,633,525,1158
QBA25,1022,133,1155
KEC00,895,259,1154
PJA10,692,456,1148
NK1XE,566,576,1142
NHK99,1044,94,1138
LCH03,1125,10,1135
JFF23,401,734,1135
FPE30,901,232,1133
AA1AG,979,153,1132
PEF23,731,401,1132
KBV00,184,948,1132
TPW99,1100,31,1131
TFP35,741,390,1131
ENC30,1078,49,1127
ABC56,1060,67,1127
SDA02,847,278,1125
XG460,1063,61,1124
FJA10,887,237,1124
NA7BG,292,832,1124
GD2SN,322,800,1122
FMD10,840,281,1121
GD1UN,306,813,1119
AA1BM,856,261,1117
LCD11,847,264,1111
AAD10,692,410,1102
JFB46,671,431,1102
JN1CD,478,622,1100
XX9TE,80,1019,1099
QCB00,1085,13,1098
TAC99,1037,60,1097
WC125,968,129,1097
QBA10,709,384,1093
EMB20,1030,60,1090
TJA10,165,925,1090
RP210,92,998,1090
TKC22,1001,88,1089
PD5AD,525,561,1086
JK3FT,137,949,1086
NH1BG,774,303,1077
NG1AD,726,347,1073
KDV12,707,362,1069
TFP46,806,260,1066
JF2BD,617,448,1065
PD4CG,827,235,1062
PE1AT,714,348,1062
EP1DG,567,495,1062
TJD20,407,655,1062
PBL10,781,278,1059
TJF80,1051,7,1058
CHD00,960,98,1058
XW3AT,162,893,1055
CBB11,788,266,1054
R4180,86,966,1052
BEF00,1040,10,1050
XKW99,1040,10,1050
TNH11,1040,7,1047
LCH13,1026,19,1045
JF1BD,410,635,1045
XCC00,814,227,1041
UJC02,564,474,1038
WX212,356,682,1038
EE1AA,89,946,1035
TNH33,1032,2,1034
PD3YT,593,437,1030
AB5BT,387,642,1029
CBB20,903,122,1025
EN1AD,299,725,1024
TMA00,1012,11,1023
NFC20,1016,4,1020
NDG60,900,117,1017
SJC10,837,176,1013
RS314,31,982,1013
FM1JR,122,887,1009
ZXD00,1005,2,1007
DC1AD,594,409,1003
PA4AC,79,923,1002
SXC02,953,46,999
TMW99,925,72,997
KFD20,900,95,995
QBB05,524,471,995
FC1BC,104,890,994
NBJ62,809,179,988
QDE99,895,87,982
XX9BW,598,384,982
JN2CM,371,609,980
XF603,615,364,979
HA3AT,395,582,977
NBG00,923,50,973
KCD32,782,190,972
TFC25,482,490,972
XX9AQ,56,916,972
CBB00,895,75,970
EB1AD,344,626,970
KBV10,302,666,968
JAB10,902,64,966
GD5CD,281,683,964
UKB02,594,369,963
WF090,400,562,962
NGF15,886,74,960
UJF12,737,223,960
JN2DG,550,409,959
JKE12,511,446,957
FXA00,939,13,952
KED33,714,236,950
TNG10,932,17,949
XF602,841,108,949
TNE25,725,224,949
FNC10,592,354,946
TFP30,810,135,945
PJD42,616,328,944
NA2CG,524,417,941
NHL10,920,18,938
JN3CG,405,531,936
PA2AD,163,773,936
PAF14,751,184,935
NJ3DA,288,645,933
JN3DG,303,629,932
ZXC12,460,470,930
ENC40,922,6,928
XX9XE,823,105,928
KCD05,531,396,927
FN1CB,693,229,922
NE1DG,351,569,920
JFB31,425,493,918
NB2AT,886,24,910
WXQ41,131,779,910
LDB00,720,189,909
LCB14,553,356,909
AA5PD,262,644,906
NDL32,787,112,899
UKC05,535,364,899
NDJ62,802,95,897
XG480,889,5,894
LAA06,519,372,891
LCA16,761,126,887
ACC53,783,102,885
XX9AN,438,446,884
EKA10,697,185,882
DAB00,534,348,882
NBE45,871,6,877
NDJ40,859,15,874
SJD30,738,136,874
JHA20,706,167,873
JAL21,616,256,872
MBA30,833,38,871
KBJ10,125,746,871
NHM20,809,61,870
NG2EA,81,789,870
QAA40,734,135,869
PJ2AE,595,271,866
XA420,856,6,862
JFB47,590,269,859
TAB22,741,116,857
NG1EA,776,79,855
EBB10,592,262,854
KCW02,500,354,854
TGD04,320,531,851
PH1AC,554,294,848
ABC30,483,364,847
PA6AD,377,469,846
LGA11,751,93,844
SBA00,595,249,844
ZZH40,463,377,840
JN5BD,400,437,837
QAB00,813,21,834
FM1FN,780,51,831
JA2AT,589,241,830
ZXE50,474,354,828
PF1AT,465,363,828
EBA12,700,127,827
HA2AT,220,607,827
KAC10,424,400,824
QBE20,405,416,821
MBC30,781,38,819
XX2AT,688,128,816
PE1YT,442,371,813
KBV12,702,110,812
KBE12,590,222,812
PJ2AT,386,420,806
HAD99,211,594,805
PD1BD,673,129,802
ZX131,172,629,801
QDB99,779,21,800
NHL68,585,214,799
EP1CM,129,662,791
SCA03,116,675,791
LBF01,665,125,790
WX120,692,97,789
RS142,13,775,788
PJD63,147,638,785
NBL22,729,55,784
NE1CM,133,650,783
KDV10,641,141,782
WX111,775,5,780
PG1AE,209,571,780
HA1SA,158,620,778
JCF12,281,492,773
SPC10,447,325,772
JN3DE,434,338,772
NBE35,767,4,771
DHA10,398,373,771
EB1BI,469,298,767
NHG26,665,99,764
CS434,748,15,763
FM1CQ,14,749,763
TND32,744,14,758
CA1CG,372,386,758
JG1JB,369,388,757
R1230,695,59,754
NCJ64,652,102,754
EAA10,517,233,750
DKW00,572,176,748
PD5CD,355,391,746
TBW99,741,4,745
NGM10,498,247,745
JAL00,82,663,745
RP120,7,738,745
CKD94,722,22,744
JDA32,221,523,744
JF2AB,148,596,744
ZXE21,742,1,743
LGA22,674,69,743
SJB60,580,162,742
ZXK00,339,403,742
AA5HE,135,607,742
XX9CW,699,38,737
EL3AE,344,393,737
JMA10,217,518,735
NH1AE,507,227,734
EFA50,530,203,733
WW300,151,580,731
AAF05,329,401,730
JG1BG,234,496,730
NHF25,709,17,726
ABD30,641,83,724
TJD00,625,98,723
SCA02,334,388,722
JDF11,649,71,720
ZPB40,87,633,720
ND1CG,571,148,719
